9,1,10
9,2,10
9,3,10
9,4,10
9,5,10
9,6,10
10,1,10
10,2,10
10,3,10
10,4,10
10,5,10
10,6,10
11,1,10
11,2,10
11,3,10
11,4,10
11,5,10
11,6,10
12,1,10
12,2,10
12,3,10
12,4,10
12,5,10
12,6,10
13,1,10
13,2,10
13,3,10
13,4,10
13,5,10
13,6,10
14,1,10
14,2,10
14,3,10
14,4,10
14,5,10
14,6,10
15,1,10
15,2,10
15,3,10
15,4,10
15,5,10
15,6,10
16,1,10
16,2,10
16,3,10
16,4,10
16,5,10
16,6,10
17,1,10
17,2,10
17,3,10
17,4,10
17,5,10
17,6,10
18,1,10
18,2,10
18,3,10
18,4,10
18,5,10
18,6,10
19,1,10
19,2,10
19,3,10
19,4,10
19,5,10
19,6,10
20,1,10
20,2,10
20,3,10
20,4,10
20,5,10
20,6,10
21,1,10
21,2,10
21,3,10
21,4,10
21,5,10
21,6,10
22,1,10
22,2,10
22,3,10
22,4,10
22,5,10
22,6,10
23,1,10
23,2,10
23,3,10
23,4,10
23,5,10
23,6,10
